first,second,third
,,
Geographical Region,South America,Argentina
,,
Geographical Region,South America,Bolivia (Plurinational State of)
,,
Geographical Region,South America,Brazil
,,
Geographical Region,South America,Chile
,,
Geographical Region,South America,Colombia
,,
Geographical Region,South America,Ecuador
,,
Geographical Region,South America,Guyana
,,
Geographical Region,South America,Paraguay
,,
Geographical Region,South America,Peru
,,
Geographical Region,South America,Suriname
,,
Geographical Region,South America,Uruguay
,,
Geographical Region,South America,Venezuela (Bolivarian Republic of)
,,
Geographical Region,Eastern Africa,Burundi
,,
Geographical Region,Eastern Africa,Comoros
,,
Geographical Region,Eastern Africa,Djibouti
,,
Geographical Region,Eastern Africa,Eritrea
,,
Geographical Region,Eastern Africa,Ethiopia
,,
Geographical Region,Eastern Africa,Kenya
,,
Geographical Region,Eastern Africa,Madagascar
,,
Geographical Region,Eastern Africa,Malawi
,,
Geographical Region,Eastern Africa,Mauritius
,,
Geographical Region,Eastern Africa,Mozambique
,,
Geographical Region,Eastern Africa,Rwanda
,,
Geographical Region,Eastern Africa,Seychelles
,,
Geographical Region,Eastern Africa,Somalia
,,
Geographical Region,Eastern Africa,Uganda
,,
Geographical Region,Eastern Africa,United Republic of Tanzania
,,
Geographical Region,Eastern Africa,Zambia
,,
Geographical Region,Eastern Africa,Zimbabwe
,,
Geographical Region,Caribbean,Antigua and Barbuda
,,
Geographical Region,Caribbean,Bahamas
,,
Geographical Region,Caribbean,Barbados
,,
Geographical Region,Caribbean,Cuba
,,
Geographical Region,Caribbean,Dominica
,,
Geographical Region,Caribbean,Dominican Republic
,,
Geographical Region,Caribbean,Grenada
,,
Geographical Region,Caribbean,Haiti
,,
Geographical Region,Caribbean,Jamaica
,,
Geographical Region,Caribbean,Saint Kitts and Nevis
,,
Geographical Region,Caribbean,Saint Lucia
,,
Geographical Region,Caribbean,Saint Vincent and the Grenadines
,,
Geographical Region,Caribbean,Trinidad and Tobago
,,
Geographical Region,Central America,Belize
,,
Geographical Region,Central America,Costa Rica
,,
Geographical Region,Central America,El Salvador
,,
Geographical Region,Central America,Guatemala
,,
Geographical Region,Central America,Honduras
,,
Geographical Region,Central America,Mexico
,,
Geographical Region,Central America,Nicaragua
,,
Geographical Region,Central America,Panama
,,
Geographical Region,Central Asia,Kazakhstan
,,
Geographical Region,Central Asia,Kyrgyzstan
,,
Geographical Region,Central Asia,Tajikistan
,,
Geographical Region,Central Asia,Turkmenistan
,,
Geographical Region,Central Asia,Uzbekistan
,,
Geographical Region,Asia,Afghanistan
,,
Geographical Region,Asia,Armenia
,,
Geographical Region,Asia,Azerbaijan
,,
Geographical Region,Asia,Bahrain
,,
Geographical Region,Asia,Bangladesh
,,
Geographical Region,Asia,Bhutan
,,
Geographical Region,Asia,Brunei Darussalam
,,
Geographical Region,Asia,Cambodia
,,
Geographical Region,Asia,China
,,
Geographical Region,Asia,Cyprus
,,
Geographical Region,Asia,Democratic People's Republic of Korea
,,
Geographical Region,Asia,Georgia
,,
Geographical Region,Asia,India
,,
Geographical Region,Asia,Indonesia
,,
Geographical Region,Asia,Iran (Islamic Republic of)
,,
Geographical Region,Asia,Iraq
,,
Geographical Region,Asia,Israel
,,
Geographical Region,Asia,Japan
,,
Geographical Region,Asia,Jordan
,,
Geographical Region,Asia,Kazakhstan
,,
Geographical Region,Asia,Kuwait
,,
Geographical Region,Asia,Kyrgyzstan
,,
Geographical Region,Asia,Lao People's Democratic Republic
,,
Geographical Region,Asia,Lebanon
,,
Geographical Region,Asia,Malaysia
,,
Geographical Region,Asia,Maldives
,,
Geographical Region,Asia,Mongolia
,,
Geographical Region,Asia,Myanmar
,,
Geographical Region,Asia,Nepal
,,
Geographical Region,Asia,Oman
,,
Geographical Region,Asia,Pakistan
,,
Geographical Region,Asia,Philippines
,,
Geographical Region,Asia,Qatar
,,
Geographical Region,Asia,Republic of Korea
,,
Geographical Region,Asia,Saudi Arabia
,,
Geographical Region,Asia,Singapore
,,
Geographical Region,Asia,Sri Lanka
,,
Geographical Region,Asia,Syrian Arab Republic
,,
Geographical Region,Asia,Tajikistan
,,
Geographical Region,Asia,Thailand
,,
Geographical Region,Asia,Timor-Leste
,,
Geographical Region,Asia,Turkey
,,
Geographical Region,Asia,Turkmenistan
,,
Geographical Region,Asia,United Arab Emirates
,,
Geographical Region,Asia,Uzbekistan
,,
Geographical Region,Asia,Viet Nam
,,
Geographical Region,Asia,Yemen
,,
Geographical Region,Australia and New Zealand,Australia
,,
Geographical Region,Australia and New Zealand,New Zealand
,,
Geographical Region,Africa,Algeria
,,
Geographical Region,Africa,Angola
,,
Geographical Region,Africa,Benin
,,
Geographical Region,Africa,Botswana
,,
Geographical Region,Africa,Burkina Faso
,,
Geographical Region,Africa,Burundi
,,
Geographical Region,Africa,Cabo Verde
,,
Geographical Region,Africa,Cameroon
,,
Geographical Region,Africa,Central African Republic
,,
Geographical Region,Africa,Chad
,,
Geographical Region,Africa,Comoros
,,
Geographical Region,Africa,Congo
,,
Geographical Region,Africa,C么te d'Ivoire
,,
Geographical Region,Africa,Democratic Republic of the Congo
,,
Geographical Region,Africa,Djibouti
,,
Geographical Region,Africa,Egypt
,,
Geographical Region,Africa,Equatorial Guinea
,,
Geographical Region,Africa,Eritrea
,,
Geographical Region,Africa,Ethiopia
,,
Geographical Region,Africa,Gabon
,,
Geographical Region,Africa,Gambia
,,
Geographical Region,Africa,Ghana
,,
Geographical Region,Africa,Guinea
,,
Geographical Region,Africa,Guinea-Bissau
,,
Geographical Region,Africa,Kenya
,,
Geographical Region,Africa,Lesotho
,,
Geographical Region,Africa,Liberia
,,
Geographical Region,Africa,Libya
,,
Geographical Region,Africa,Madagascar
,,
Geographical Region,Africa,Malawi
,,
Geographical Region,Africa,Mali
,,
Geographical Region,Africa,Mauritania
,,
Geographical Region,Africa,Mauritius
,,
Geographical Region,Africa,Morocco
,,
Geographical Region,Africa,Mozambique
,,
Geographical Region,Africa,Namibia
,,
Geographical Region,Africa,Niger
,,
Geographical Region,Africa,Nigeria
,,
Geographical Region,Africa,Rwanda
,,
Geographical Region,Africa,Sao Tome and Principe
,,
Geographical Region,Africa,Senegal
,,
Geographical Region,Africa,Seychelles
,,
Geographical Region,Africa,Sierra Leone
,,
Geographical Region,Africa,Somalia
,,
Geographical Region,Africa,South Africa
,,
Geographical Region,Africa,Sudan
,,
Geographical Region,Africa,Swaziland
,,
Geographical Region,Africa,Togo
,,
Geographical Region,Africa,Tunisia
,,
Geographical Region,Africa,Uganda
,,
Geographical Region,Africa,United Republic of Tanzania
,,
Geographical Region,Africa,Zambia
,,
Geographical Region,Africa,Zimbabwe
,,
Geographical Region,Americas,Antigua and Barbuda
,,
Geographical Region,Americas,Argentina
,,
Geographical Region,Americas,Bahamas
,,
Geographical Region,Americas,Barbados
,,
Geographical Region,Americas,Belize
,,
Geographical Region,Americas,Bolivia (Plurinational State of)
,,
Geographical Region,Americas,Brazil
,,
Geographical Region,Americas,Canada
,,
Geographical Region,Americas,Chile
,,
Geographical Region,Americas,Colombia
,,
Geographical Region,Americas,Costa Rica
,,
Geographical Region,Americas,Cuba
,,
Geographical Region,Americas,Dominica
,,
Geographical Region,Americas,Dominican Republic
,,
Geographical Region,Americas,Ecuador
,,
Geographical Region,Americas,El Salvador
,,
Geographical Region,Americas,Grenada
,,
Geographical Region,Americas,Guatemala
,,
Geographical Region,Americas,Guyana
,,
Geographical Region,Americas,Haiti
,,
Geographical Region,Americas,Honduras
,,
Geographical Region,Americas,Jamaica
,,
Geographical Region,Americas,Mexico
,,
Geographical Region,Americas,Nicaragua
,,
Geographical Region,Americas,Panama
,,
Geographical Region,Americas,Paraguay
,,
Geographical Region,Americas,Peru
,,
Geographical Region,Americas,Saint Kitts and Nevis
,,
Geographical Region,Americas,Saint Lucia
,,
Geographical Region,Americas,Saint Vincent and the Grenadines
,,
Geographical Region,Americas,Suriname
,,
Geographical Region,Americas,Trinidad and Tobago
,,
Geographical Region,Americas,United States of America
,,
Geographical Region,Americas,Uruguay
,,
Geographical Region,Americas,Venezuela (Bolivarian Republic of)
,,
Geographical Region,Southern Asia,Afghanistan
,,
Geographical Region,Southern Asia,Bangladesh
,,
Geographical Region,Southern Asia,Bhutan
,,
Geographical Region,Southern Asia,India
,,
Geographical Region,Southern Asia,Iran (Islamic Republic of)
,,
Geographical Region,Southern Asia,Maldives
,,
Geographical Region,Southern Asia,Nepal
,,
Geographical Region,Southern Asia,Pakistan
,,
Geographical Region,Southern Asia,Sri Lanka
,,
Geographical Region,Northern America,Canada
,,
Geographical Region,Northern America,United States of America
,,
Geographical Region,Europe,Albania
,,
Geographical Region,Europe,Andorra
,,
Geographical Region,Europe,Austria
,,
Geographical Region,Europe,Belarus
,,
Geographical Region,Europe,Belgium
,,
Geographical Region,Europe,Bosnia and Herzegovina
,,
Geographical Region,Europe,Bulgaria
,,
Geographical Region,Europe,Croatia
,,
Geographical Region,Europe,Czech Republic
,,
Geographical Region,Europe,Denmark
,,
Geographical Region,Europe,Estonia
,,
Geographical Region,Europe,Finland
,,
Geographical Region,Europe,France
,,
Geographical Region,Europe,Germany
,,
Geographical Region,Europe,Greece
,,
Geographical Region,Europe,Hungary
,,
Geographical Region,Europe,Iceland
,,
Geographical Region,Europe,Ireland
,,
Geographical Region,Europe,Italy
,,
Geographical Region,Europe,Latvia
,,
Geographical Region,Europe,Lithuania
,,
Geographical Region,Europe,Luxembourg
,,
Geographical Region,Europe,Malta
,,
Geographical Region,Europe,Monaco
,,
Geographical Region,Europe,Montenegro
,,
Geographical Region,Europe,Netherlands
,,
Geographical Region,Europe,Norway
,,
Geographical Region,Europe,Poland
,,
Geographical Region,Europe,Portugal
,,
Geographical Region,Europe,Republic of Moldova
,,
Geographical Region,Europe,Romania
,,
Geographical Region,Europe,Russian Federation
,,
Geographical Region,Europe,San Marino
,,
Geographical Region,Europe,Serbia
,,
Geographical Region,Europe,Slovakia
,,
Geographical Region,Europe,Slovenia
,,
Geographical Region,Europe,Spain
,,
Geographical Region,Europe,Sweden
,,
Geographical Region,Europe,Switzerland
,,
Geographical Region,Europe,The former Yugoslav Republic of Macedonia
,,
Geographical Region,Europe,Ukraine
,,
Geographical Region,Europe,United Kingdom
,,
Geographical Region,Middle Africa,Angola
,,
Geographical Region,Middle Africa,Cameroon
,,
Geographical Region,Middle Africa,Central African Republic
,,
Geographical Region,Middle Africa,Chad
,,
Geographical Region,Middle Africa,Congo
,,
Geographical Region,Middle Africa,Democratic Republic of the Congo
,,
Geographical Region,Middle Africa,Equatorial Guinea
,,
Geographical Region,Middle Africa,Gabon
,,
Geographical Region,Middle Africa,Sao Tome and Principe
,,
Geographical Region,Eastern Asia,China
,,
Geographical Region,Eastern Asia,Democratic People's Republic of Korea
,,
Geographical Region,Eastern Asia,Japan
,,
Geographical Region,Eastern Asia,Mongolia
,,
Geographical Region,Eastern Asia,Republic of Korea
,,
Geographical Region,Micronesia,Kiribati
,,
Geographical Region,Micronesia,Marshall Islands
,,
Geographical Region,Micronesia,Micronesia (Federated States of)
,,
Geographical Region,Micronesia,Nauru
,,
Geographical Region,Micronesia,Palau
,,
Geographical Region,Northern Africa,Algeria
,,
Geographical Region,Northern Africa,Egypt
,,
Geographical Region,Northern Africa,Libya
,,
Geographical Region,Northern Africa,Morocco
,,
Geographical Region,Northern Africa,Sudan
,,
Geographical Region,Northern Africa,Tunisia
,,
Geographical Region,Melanesia,Fiji
,,
Geographical Region,Melanesia,Papua New Guinea
,,
Geographical Region,Melanesia,Solomon Islands
,,
Geographical Region,Melanesia,Vanuatu
,,
Geographical Region,Eastern Europe,Belarus
,,
Geographical Region,Eastern Europe,Bulgaria
,,
Geographical Region,Eastern Europe,Czech Republic
,,
Geographical Region,Eastern Europe,Hungary
,,
Geographical Region,Eastern Europe,Poland
,,
Geographical Region,Eastern Europe,Republic of Moldova
,,
Geographical Region,Eastern Europe,Romania
,,
Geographical Region,Eastern Europe,Russian Federation
,,
Geographical Region,Eastern Europe,Slovakia
,,
Geographical Region,Eastern Europe,Ukraine
,,
Geographical Region,Northern Europe,Denmark
,,
Geographical Region,Northern Europe,Estonia
,,
Geographical Region,Northern Europe,Finland
,,
Geographical Region,Northern Europe,Iceland
,,
Geographical Region,Northern Europe,Ireland
,,
Geographical Region,Northern Europe,Latvia
,,
Geographical Region,Northern Europe,Lithuania
,,
Geographical Region,Northern Europe,Norway
,,
Geographical Region,Northern Europe,Sweden
,,
Geographical Region,Northern Europe,United Kingdom
,,
Geographical Region,Oceania,Australia
,,
Geographical Region,Oceania,Cook Islands
,,
Geographical Region,Oceania,Fiji
,,
Geographical Region,Oceania,Kiribati
,,
Geographical Region,Oceania,Marshall Islands
,,
Geographical Region,Oceania,Micronesia (Federated States of)
,,
Geographical Region,Oceania,Nauru
,,
Geographical Region,Oceania,New Zealand
,,
Geographical Region,Oceania,Niue
,,
Geographical Region,Oceania,Palau
,,
Geographical Region,Oceania,Papua New Guinea
,,
Geographical Region,Oceania,Samoa
,,
Geographical Region,Oceania,Solomon Islands
,,
Geographical Region,Oceania,Tonga
,,
Geographical Region,Oceania,Tuvalu
,,
Geographical Region,Oceania,Vanuatu
,,
Geographical Region,Polynesia,Cook Islands
,,
Geographical Region,Polynesia,Niue
,,
Geographical Region,Polynesia,Samoa
,,
Geographical Region,Polynesia,Tonga
,,
Geographical Region,Polynesia,Tuvalu
,,
Geographical Region,South-eastern Asia,Brunei Darussalam
,,
Geographical Region,South-eastern Asia,Cambodia
,,
Geographical Region,South-eastern Asia,Indonesia
,,
Geographical Region,South-eastern Asia,Lao People's Democratic Republic
,,
Geographical Region,South-eastern Asia,Malaysia
,,
Geographical Region,South-eastern Asia,Myanmar
,,
Geographical Region,South-eastern Asia,Philippines
,,
Geographical Region,South-eastern Asia,Singapore
,,
Geographical Region,South-eastern Asia,Thailand
,,
Geographical Region,South-eastern Asia,Timor-Leste
,,
Geographical Region,South-eastern Asia,Viet Nam
,,
Geographical Region,Southern Europe,Albania
,,
Geographical Region,Southern Europe,Andorra
,,
Geographical Region,Southern Europe,Bosnia and Herzegovina
,,
Geographical Region,Southern Europe,Croatia
,,
Geographical Region,Southern Europe,Greece
,,
Geographical Region,Southern Europe,Italy
,,
Geographical Region,Southern Europe,Malta
,,
Geographical Region,Southern Europe,Montenegro
,,
Geographical Region,Southern Europe,Portugal
,,
Geographical Region,Southern Europe,San Marino
,,
Geographical Region,Southern Europe,Serbia
,,
Geographical Region,Southern Europe,Slovenia
,,
Geographical Region,Southern Europe,Spain
,,
Geographical Region,Southern Europe,The former Yugoslav Republic of Macedonia
,,
Geographical Region,Western Africa,Benin
,,
Geographical Region,Western Africa,Burkina Faso
,,
Geographical Region,Western Africa,Cabo Verde
,,
Geographical Region,Western Africa,C么te d'Ivoire
,,
Geographical Region,Western Africa,Gambia
,,
Geographical Region,Western Africa,Ghana
,,
Geographical Region,Western Africa,Guinea
,,
Geographical Region,Western Africa,Guinea-Bissau
,,
Geographical Region,Western Africa,Liberia
,,
Geographical Region,Western Africa,Mali
,,
Geographical Region,Western Africa,Mauritania
,,
Geographical Region,Western Africa,Niger
,,
Geographical Region,Western Africa,Nigeria
,,
Geographical Region,Western Africa,Senegal
,,
Geographical Region,Western Africa,Sierra Leone
,,
Geographical Region,Western Africa,Togo
,,
Geographical Region,Western Asia,Armenia
,,
Geographical Region,Western Asia,Azerbaijan
,,
Geographical Region,Western Asia,Bahrain
,,
Geographical Region,Western Asia,Cyprus
,,
Geographical Region,Western Asia,Georgia
,,
Geographical Region,Western Asia,Iraq
,,
Geographical Region,Western Asia,Israel
,,
Geographical Region,Western Asia,Jordan
,,
Geographical Region,Western Asia,Kuwait
,,
Geographical Region,Western Asia,Lebanon
,,
Geographical Region,Western Asia,Oman
,,
Geographical Region,Western Asia,Qatar
,,
Geographical Region,Western Asia,Saudi Arabia
,,
Geographical Region,Western Asia,Syrian Arab Republic
,,
Geographical Region,Western Asia,Turkey
,,
Geographical Region,Western Asia,United Arab Emirates
,,
Geographical Region,Western Asia,Yemen
,,
Geographical Region,Western Europe,Austria
,,
Geographical Region,Western Europe,Belgium
,,
Geographical Region,Western Europe,France
,,
Geographical Region,Western Europe,Germany
,,
Geographical Region,Western Europe,Luxembourg
,,
Geographical Region,Western Europe,Monaco
,,
Geographical Region,Western Europe,Netherlands
,,
Geographical Region,Western Europe,Switzerland
,,
Economic groups,Arab Maghreb Union,Algeria
,,
Economic groups,Arab Maghreb Union,Libya
,,
Economic groups,Arab Maghreb Union,Mauritania
,,
Economic groups,Arab Maghreb Union,Morocco
,,
Economic groups,Arab Maghreb Union,Tunisia
,,
Economic groups,Central American Council of Agriculture,Belize
,,
Economic groups,Central American Council of Agriculture,Costa Rica
,,
Economic groups,Central American Council of Agriculture,El Salvador
,,
Economic groups,Central American Council of Agriculture,Guatemala
,,
Economic groups,Central American Council of Agriculture,Honduras
,,
Economic groups,Central American Council of Agriculture,Nicaragua
,,
Economic groups,Central American Council of Agriculture,Panama
,,
Economic groups,Andean Community,Bolivia (Plurinational State of)
,,
Economic groups,Andean Community,Colombia
,,
Economic groups,Andean Community,Ecuador
,,
Economic groups,Andean Community,Peru
,,
Economic groups,"Caribbean Forum of African, Caribbean and Pacific States",Antigua and Barbuda
,,
Economic groups,"Caribbean Forum of African, Caribbean and Pacific States",Bahamas
,,
Economic groups,"Caribbean Forum of African, Caribbean and Pacific States",Barbados
,,
Economic groups,"Caribbean Forum of African, Caribbean and Pacific States",Belize
,,
Economic groups,"Caribbean Forum of African, Caribbean and Pacific States",Dominica
,,
Economic groups,"Caribbean Forum of African, Caribbean and Pacific States",Dominican Republic
,,
Economic groups,"Caribbean Forum of African, Caribbean and Pacific States",Grenada
,,
Economic groups,"Caribbean Forum of African, Caribbean and Pacific States",Guyana
,,
Economic groups,"Caribbean Forum of African, Caribbean and Pacific States",Haiti
,,
Economic groups,"Caribbean Forum of African, Caribbean and Pacific States",Jamaica
,,
Economic groups,"Caribbean Forum of African, Caribbean and Pacific States",Saint Kitts and Nevis
,,
Economic groups,"Caribbean Forum of African, Caribbean and Pacific States",Saint Lucia
,,
Economic groups,"Caribbean Forum of African, Caribbean and Pacific States",Saint Vincent and the Grenadines
,,
Economic groups,"Caribbean Forum of African, Caribbean and Pacific States",Suriname
,,
Economic groups,"Caribbean Forum of African, Caribbean and Pacific States",Trinidad and Tobago
,,
Economic groups,European Union,Austria
,,
Economic groups,European Union,Belgium
,,
Economic groups,European Union,Bulgaria
,,
Economic groups,European Union,Croatia
,,
Economic groups,European Union,Cyprus
,,
Economic groups,European Union,Czech Republic
,,
Economic groups,European Union,Denmark
,,
Economic groups,European Union,Estonia
,,
Economic groups,European Union,Finland
,,
Economic groups,European Union,France
,,
Economic groups,European Union,Germany
,,
Economic groups,European Union,Greece
,,
Economic groups,European Union,Hungary
,,
Economic groups,European Union,Ireland
,,
Economic groups,European Union,Italy
,,
Economic groups,European Union,Latvia
,,
Economic groups,European Union,Lithuania
,,
Economic groups,European Union,Luxembourg
,,
Economic groups,European Union,Malta
,,
Economic groups,European Union,Netherlands
,,
Economic groups,European Union,Poland
,,
Economic groups,European Union,Portugal
,,
Economic groups,European Union,Romania
,,
Economic groups,European Union,Slovakia
,,
Economic groups,European Union,Slovenia
,,
Economic groups,European Union,Spain
,,
Economic groups,European Union,Sweden
,,
Economic groups,European Union,United Kingdom
,,
Economic groups,Cooperation Council for the Arab States of the Gulf,Bahrain
,,
Economic groups,Cooperation Council for the Arab States of the Gulf,Kuwait
,,
Economic groups,Cooperation Council for the Arab States of the Gulf,Oman
,,
Economic groups,Cooperation Council for the Arab States of the Gulf,Qatar
,,
Economic groups,Cooperation Council for the Arab States of the Gulf,Saudi Arabia
,,
Economic groups,Cooperation Council for the Arab States of the Gulf,United Arab Emirates
,,
Economic groups,Community of Sahel-Saharan States,Benin
,,
Economic groups,Community of Sahel-Saharan States,Burkina Faso
,,
Economic groups,Community of Sahel-Saharan States,Central African Republic
,,
Economic groups,Community of Sahel-Saharan States,Chad
,,
Economic groups,Community of Sahel-Saharan States,Comoros
,,
Economic groups,Community of Sahel-Saharan States,C么te d'Ivoire
,,
Economic groups,Community of Sahel-Saharan States,Djibouti
,,
Economic groups,Community of Sahel-Saharan States,Egypt
,,
Economic groups,Community of Sahel-Saharan States,Eritrea
,,
Economic groups,Community of Sahel-Saharan States,Gambia
,,
Economic groups,Community of Sahel-Saharan States,Ghana
,,
Economic groups,Community of Sahel-Saharan States,Guinea
,,
Economic groups,Community of Sahel-Saharan States,Guinea-Bissau
,,
Economic groups,Community of Sahel-Saharan States,Kenya
,,
Economic groups,Community of Sahel-Saharan States,Liberia
,,
Economic groups,Community of Sahel-Saharan States,Libya
,,
Economic groups,Community of Sahel-Saharan States,Mali
,,
Economic groups,Community of Sahel-Saharan States,Mauritania
,,
Economic groups,Community of Sahel-Saharan States,Morocco
,,
Economic groups,Community of Sahel-Saharan States,Niger
,,
Economic groups,Community of Sahel-Saharan States,Nigeria
,,
Economic groups,Community of Sahel-Saharan States,Sao Tome and Principe
,,
Economic groups,Community of Sahel-Saharan States,Senegal
,,
Economic groups,Community of Sahel-Saharan States,Sierra Leone
,,
Economic groups,Community of Sahel-Saharan States,Somalia
,,
Economic groups,Community of Sahel-Saharan States,Sudan
,,
Economic groups,Community of Sahel-Saharan States,Togo
,,
Economic groups,Community of Sahel-Saharan States,Tunisia
,,
Economic groups,Common Market for Eastern and Southern Africa,Burundi
,,
Economic groups,Common Market for Eastern and Southern Africa,Comoros
,,
Economic groups,Common Market for Eastern and Southern Africa,Democratic Republic of the Congo
,,
Economic groups,Common Market for Eastern and Southern Africa,Djibouti
,,
Economic groups,Common Market for Eastern and Southern Africa,Egypt
,,
Economic groups,Common Market for Eastern and Southern Africa,Eritrea
,,
Economic groups,Common Market for Eastern and Southern Africa,Ethiopia
,,
Economic groups,Common Market for Eastern and Southern Africa,Kenya
,,
Economic groups,Common Market for Eastern and Southern Africa,Libya
,,
Economic groups,Common Market for Eastern and Southern Africa,Madagascar
,,
Economic groups,Common Market for Eastern and Southern Africa,Malawi
,,
Economic groups,Common Market for Eastern and Southern Africa,Mauritius
,,
Economic groups,Common Market for Eastern and Southern Africa,Rwanda
,,
Economic groups,Common Market for Eastern and Southern Africa,Seychelles
,,
Economic groups,Common Market for Eastern and Southern Africa,Sudan
,,
Economic groups,Common Market for Eastern and Southern Africa,Swaziland
,,
Economic groups,Common Market for Eastern and Southern Africa,Uganda
,,
Economic groups,Common Market for Eastern and Southern Africa,Zambia
,,
Economic groups,Common Market for Eastern and Southern Africa,Zimbabwe
,,
Economic groups,Council of Arab Economic Unity,Egypt
,,
Economic groups,Council of Arab Economic Unity,Iraq
,,
Economic groups,Council of Arab Economic Unity,Jordan
,,
Economic groups,Council of Arab Economic Unity,Kuwait
,,
Economic groups,Council of Arab Economic Unity,Libya
,,
Economic groups,Council of Arab Economic Unity,Mauritania
,,
Economic groups,Council of Arab Economic Unity,Somalia
,,
Economic groups,Council of Arab Economic Unity,Sudan
,,
Economic groups,Council of Arab Economic Unity,Syrian Arab Republic
,,
Economic groups,Council of Arab Economic Unity,Tunisia
,,
Economic groups,Council of Arab Economic Unity,United Arab Emirates
,,
Economic groups,Council of Arab Economic Unity,Yemen
,,
Economic groups,Economic Community of Central African States,Angola
,,
Economic groups,Economic Community of Central African States,Burundi
,,
Economic groups,Economic Community of Central African States,Cameroon
,,
Economic groups,Economic Community of Central African States,Central African Republic
,,
Economic groups,Economic Community of Central African States,Chad
,,
Economic groups,Economic Community of Central African States,Congo
,,
Economic groups,Economic Community of Central African States,Democratic Republic of the Congo
,,
Economic groups,Economic Community of Central African States,Equatorial Guinea
,,
Economic groups,Economic Community of Central African States,Gabon
,,
Economic groups,Economic Community of Central African States,Rwanda
,,
Economic groups,Economic Community of Central African States,Sao Tome and Principe
,,
Economic groups,Economic Community of West African States,Benin
,,
Economic groups,Economic Community of West African States,Burkina Faso
,,
Economic groups,Economic Community of West African States,Cabo Verde
,,
Economic groups,Economic Community of West African States,C么te d'Ivoire
,,
Economic groups,Economic Community of West African States,Gambia
,,
Economic groups,Economic Community of West African States,Ghana
,,
Economic groups,Economic Community of West African States,Guinea-Bissau
,,
Economic groups,Economic Community of West African States,Liberia
,,
Economic groups,Economic Community of West African States,Mali
,,
Economic groups,Economic Community of West African States,Nigeria
,,
Economic groups,Economic Community of West African States,Senegal
,,
Economic groups,Economic Community of West African States,Sierra Leone
,,
Economic groups,Economic Community of West African States,Togo
,,
Economic groups,Economic Cooperation Organization,Afghanistan
,,
Economic groups,Economic Cooperation Organization,Azerbaijan
,,
Economic groups,Economic Cooperation Organization,Iran (Islamic Republic of)
,,
Economic groups,Economic Cooperation Organization,Kazakhstan
,,
Economic groups,Economic Cooperation Organization,Kyrgyzstan
,,
Economic groups,Economic Cooperation Organization,Pakistan
,,
Economic groups,Economic Cooperation Organization,Tajikistan
,,
Economic groups,Economic Cooperation Organization,Turkey
,,
Economic groups,Economic Cooperation Organization,Turkmenistan
,,
Economic groups,Economic Cooperation Organization,Uzbekistan
,,
Economic groups,Intergovernmental Authority on Development,Djibouti
,,
Economic groups,Intergovernmental Authority on Development,Eritrea
,,
Economic groups,Intergovernmental Authority on Development,Ethiopia
,,
Economic groups,Intergovernmental Authority on Development,Kenya
,,
Economic groups,Intergovernmental Authority on Development,Somalia
,,
Economic groups,Intergovernmental Authority on Development,Sudan
,,
Economic groups,Intergovernmental Authority on Development,Uganda
,,
Economic groups,Pacific Islands Forum,Australia
,,
Economic groups,Pacific Islands Forum,Cook Islands
,,
Economic groups,Pacific Islands Forum,Kiribati
,,
Economic groups,Pacific Islands Forum,Marshall Islands
,,
Economic groups,Pacific Islands Forum,Micronesia (Federated States of)
,,
Economic groups,Pacific Islands Forum,Nauru
,,
Economic groups,Pacific Islands Forum,New Zealand
,,
Economic groups,Pacific Islands Forum,Niue
,,
Economic groups,Pacific Islands Forum,Palau
,,
Economic groups,Pacific Islands Forum,Papua New Guinea
,,
Economic groups,Pacific Islands Forum,Samoa
,,
Economic groups,Pacific Islands Forum,Solomon Islands
,,
Economic groups,Pacific Islands Forum,Tonga
,,
Economic groups,Pacific Islands Forum,Tuvalu
,,
Economic groups,Pacific Islands Forum,Vanuatu
,,
Economic groups,South Asian Association for Regional Cooperation,Afghanistan
,,
Economic groups,South Asian Association for Regional Cooperation,Bangladesh
,,
Economic groups,South Asian Association for Regional Cooperation,Bhutan
,,
Economic groups,South Asian Association for Regional Cooperation,India
,,
Economic groups,South Asian Association for Regional Cooperation,Maldives
,,
Economic groups,South Asian Association for Regional Cooperation,Nepal
,,
Economic groups,South Asian Association for Regional Cooperation,Pakistan
,,
Economic groups,South Asian Association for Regional Cooperation,Sri Lanka
,,
Economic groups,Southern African Development Community,Angola
,,
Economic groups,Southern African Development Community,Botswana
,,
Economic groups,Southern African Development Community,Democratic Republic of the Congo
,,
Economic groups,Southern African Development Community,Lesotho
,,
Economic groups,Southern African Development Community,Madagascar
,,
Economic groups,Southern African Development Community,Malawi
,,
Economic groups,Southern African Development Community,Mauritius
,,
Economic groups,Southern African Development Community,Mozambique
,,
Economic groups,Southern African Development Community,Namibia
,,
Economic groups,Southern African Development Community,Seychelles
,,
Economic groups,Southern African Development Community,South Africa
,,
Economic groups,Southern African Development Community,Swaziland
,,
Economic groups,Southern African Development Community,United Republic of Tanzania
,,
Economic groups,Southern African Development Community,Zambia
,,
Economic groups,Southern African Development Community,Zimbabwe
,,
Economic groups,Southern Common Market,Argentina
,,
Economic groups,Southern Common Market,Brazil
,,
Economic groups,Southern Common Market,Paraguay
,,
Economic groups,Southern Common Market,Uruguay
